Account Statement for ... since 7/28/26 through 7/29/26
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
7/28/26,13:00:00,BAL,,Cash balance at the start of business day 28.07 CST,,,,37895.57
7/28/26,21:34:04,TRD,="1007355276875",BOT +49 SPY @738.43,,,-36183.07,1712.50
7/28/26,21:34:04,TRD,="1007355276875",BOT +17 SPY @738.43,,,-12553.31,-10840.81
7/28/26,21:34:04,TRD,="1007355276875",BOT +34 SPY @738.4399,,,-25106.96,-35947.77
7/28/26,21:38:23,TRD,="1007355277684",SOLD -100 SPY @738.295,-1.54,,73829.50,37880.19
7/28/26,21:42:13,TRD,="1007356182407",BOT +100 SPY @737.725,,,-73772.50,-35892.31
7/28/26,21:46:09,TRD,="1007356183144",SOLD -100 SPY @736.4102,-1.54,,73641.02,37747.17
7/28/26,21:51:35,TRD,="1007356996326",BOT +2 SPY @737.38,,,-1474.76,36272.41
7/28/26,21:51:35,TRD,="1007356996326",BOT +58 SPY @737.38,,,-42768.04,-6495.63
7/28/26,21:51:35,TRD,="1007356996326",BOT +40 SPY @737.389,,,-29495.56,-35991.19
7/28/26,21:59:48,TRD,="1007357606023",BOT +100 SPY @736.525,,,-73652.50,-109643.69
7/28/26,22:00:52,TRD,="1007357606216",SOLD -100 SPY @737.3145,-1.54,,73731.45,-35913.78
7/28/26,22:09:17,TRD,="1007357607542",BOT +20 SPY @737.43,,,-14748.60,-50662.38
7/28/26,22:09:17,TRD,="1007357607542",BOT +4 SPY @737.439,,,-2949.76,-53612.14
7/28/26,22:09:17,TRD,="1007357607542",BOT +76 SPY @737.4399,,,-56045.43,-109657.57
7/28/26,22:12:16,TRD,="1007358442022",SOLD -100 SPY @737.366,-1.54,,73736.60,-35922.51
7/28/26,22:19:59,TRD,="1007358443090",SOLD -100 SPY @736.6051,-1.54,,73660.51,37736.46
7/28/26,22:20:50,TRD,="1007358443182",BOT +100 SPY @736.69,,,-73669.00,-35932.54
7/28/26,22:24:02,TRD,="1007358443677",SOLD -100 SPY @737.7805,-1.54,,73778.05,37843.97
7/28/26,22:28:39,TRD,="1007359320321",BOT +40 SPY @737.5099,,,-29500.40,8343.57
7/28/26,22:28:39,TRD,="1007359320321",BOT +60 SPY @737.5099,,,-44250.59,-35907.02
7/28/26,22:41:08,TRD,="1007359321862",BOT +100 SPY @737.965,,,-73796.50,-109703.52
7/28/26,22:41:56,TRD,="1007359321960",SOLD -100 SPY @738.34,-1.54,,73834.00,-35871.06
7/28/26,23:05:59,TRD,="1007361374167",BOT +100 SPY @738.305,,,-73830.50,-109701.56
7/28/26,23:12:04,TRD,="1007361374713",SOLD -100 SPY @738.79,-1.54,,73879.00,-35824.10
7/28/26,23:57:17,TRD,="1007363554530",SOLD -100 SPY @742.095,-1.55,,74209.50,38383.85
7/28/26,23:57:47,TRD,="1007363554553",BOT +100 SPY @742.1897,,,-74218.97,-35835.12
7/28/26,23:59:07,TRD,="1007363554635",SOLD -100 SPY @742.19,-1.55,,74219.00,38382.33
7/29/26,00:34:19,TRD,="1007364649172",BOT +100 SPY @741.32,,,-74132.00,-35749.67
7/29/26,00:35:16,TRD,="1007364649270",SOLD -100 SPY @741.2313,-1.55,,74123.13,38371.91
