DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/10/26,13:00:00,BAL,,Cash balance at the start of business day 10.08 CST,,,,115749.65
8/10/26,22:12:32,TRD,="1007527183590",SOLD -100 SPY @774.025,-1.61,,77402.50,193150.54
8/10/26,22:17:06,TRD,="1007527824408",BOT +40 SPY @774.1699,,,-30966.80,162183.74
8/10/26,22:17:06,TRD,="1007527824408",BOT +60 SPY @774.1699,,,-46450.19,115733.55
8/10/26,22:19:56,TRD,="1007527825063",SOLD -100 SPY @774.3001,-1.62,,77430.01,193161.94
8/10/26,22:39:13,TRD,="1007528870940",BOT +60 SPY @774.23,,,-46453.80,146708.14
8/10/26,22:39:13,TRD,="1007528870940",BOT +40 SPY @774.23,,,-30969.20,115738.94
8/10/26,22:44:58,TRD,="1007528871993",SOLD -100 SPY @774.6101,-1.62,,77461.01,193198.33
8/10/26,22:53:47,TRD,="1007529447521",BOT +100 SPY @774.02,,,-77402.00,115796.33
8/10/26,23:02:33,TRD,="1007530016897",BOT +100 SPY @773.628,,,-77362.80,38433.53
8/10/26,23:03:54,TRD,="1007530017096",SOLD -100 SPY @773.815,-1.61,,77381.50,115813.42
8/10/26,23:17:20,TRD,="1007530607494",SOLD -100 SPY @773.9658,-1.61,,77396.58,193208.39
8/10/26,23:18:12,TRD,="1007530607627",BOT +100 SPY @773.905,,,-77390.50,115817.89
8/10/26,23:25:30,TRD,="1007531140509",SOLD -100 SPY @773.77,-1.61,,77377.00,193193.28
8/10/26,23:26:42,TRD,="1007531140634",BOT +100 SPY @773.445,,,-77344.50,115848.78
8/10/26,23:41:16,TRD,="1007531870220",SOLD -100 SPY @773.46,-1.61,,77346.00,193193.17
8/10/26,23:43:01,TRD,="1007531870425",BOT +100 SPY @773.4189,,,-77341.89,115851.28
8/10/26,23:51:38,TRD,="1007531871391",BOT +100 SPY @773.90,,,-77390.00,38461.28
8/10/26,23:52:02,TRD,="1007531871453",SOLD -100 SPY @774.02,-1.61,,77402.00,115861.67
8/10/26,23:53:14,TRD,="1007531871587",BOT +100 SPY @774.115,,,-77411.50,38450.17
8/10/26,23:54:31,TRD,="1007531871681",SOLD -100 SPY @774.2464,-1.61,,77424.64,115873.20
8/11/26,00:26:14,TRD,="1007533496700",SOLD -100 SPY @773.7472,-1.61,,77374.72,193246.31
8/11/26,00:26:41,TRD,="1007533496763",BOT +100 SPY @773.689,,,-77368.90,115877.41
8/11/26,01:12:23,TRD,="1007534988875",SOLD -100 SPY @772.9363,-1.61,,77293.63,193169.43
8/11/26,01:13:35,TRD,="1007535099045",BOT +100 SPY @773.0299,,,-77302.99,115866.44
8/11/26,01:25:29,TRD,="1007535628320",SOLD -100 SPY @773.10,-1.61,,77310.00,193174.83
8/11/26,01:27:29,TRD,="1007535628545",BOT +1 SPY @773.075,,,-773.08,192401.75
8/11/26,01:27:29,TRD,="1007535628545",BOT +40 SPY @773.079,,,-30923.16,161478.59
8/11/26,01:27:29,TRD,="1007535628545",BOT +59 SPY @773.079,,,-45611.66,115866.93
8/11/26,01:37:58,TRD,="1007535629777",SOLD -100 SPY @772.7795,-1.61,,77277.95,193143.27
8/11/26,01:38:43,TRD,="1007535629857",BOT +100 SPY @772.85,,,-77285.00,115858.27
