DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/7/26,13:00:00,BAL,,Cash balance at the start of business day 07.08 CST,,,,115652.34
8/7/26,22:12:56,TRD,1007509521633,BOT +100 SPY @769.855,,,-76985.50,38666.84
8/7/26,22:16:52,TRD,1007509930707,SOLD -100 SPY @770.6701,-1.61,,77067.01,115732.24
8/7/26,22:25:04,TRD,1007510474665,BOT +40 SPY @772.2299,,,-30889.20,84843.04
8/7/26,22:25:04,TRD,1007510474665,BOT +60 SPY @772.2299,,,-46333.79,38509.25
8/7/26,22:27:20,TRD,1007510475115,SOLD -100 SPY @772.655,-1.61,,77265.50,115773.14
8/7/26,22:30:28,TRD,1007510475769,BOT +100 SPY @772.965,,,-77296.50,38476.64
8/7/26,22:33:36,TRD,1007511064334,BOT +40 SPY @772.61,,,-30904.40,7572.24
8/7/26,22:33:36,TRD,1007511064334,BOT +40 SPY @772.61,,,-30904.40,-23332.16
8/7/26,22:33:36,TRD,1007511064334,BOT +20 SPY @772.6141,,,-15452.28,-38784.44
8/7/26,22:56:10,TRD,1007511771435,SOLD -100 SPY @772.6193,-1.61,,77261.93,38475.88
8/7/26,22:56:57,TRD,1007511771508,SOLD -100 SPY @772.425,-1.61,,77242.50,115716.77
8/7/26,23:21:41,TRD,1007512617921,BOT +2 SPY @772.89,,,-1545.78,114170.99
8/7/26,23:21:41,TRD,1007512617921,BOT +7 SPY @772.899,,,-5410.29,108760.70
8/7/26,23:21:41,TRD,1007512617921,BOT +7 SPY @772.899,,,-5410.30,103350.40
8/7/26,23:21:41,TRD,1007512617921,BOT +84 SPY @772.8999,,,-64923.59,38426.81
8/7/26,23:23:34,TRD,1007513558099,SOLD -100 SPY @773.4472,-1.61,,77344.72,115769.92
8/7/26,23:36:55,TRD,1007513559594,BOT +40 SPY @773.4299,,,-30937.20,84832.72
8/7/26,23:36:55,TRD,1007513559594,BOT +40 SPY @773.4299,,,-30937.19,53895.53
8/7/26,23:36:55,TRD,1007513559594,BOT +20 SPY @773.4299,,,-15468.60,38426.93
8/7/26,23:38:56,TRD,1007513559801,SOLD -100 SPY @773.45,-1.61,,77345.00,115770.32
8/7/26,23:41:18,TRD,1007514420069,BOT +100 SPY @773.4099,,,-77340.99,38429.33
8/8/26,00:04:43,TRD,1007515031603,BOT +100 SPY @772.9645,,,-77296.45,-38867.12
8/8/26,00:07:01,TRD,1007515482014,SOLD -100 SPY @773.30,-1.61,,77330.00,38461.27
8/8/26,01:05:37,TRD,1007517263631,BOT +100 SPY @772.175,,,-77217.50,-38756.23
8/8/26,01:45:44,TRD,1007518561142,SOLD -100 SPY @772.2313,-1.61,,77223.13,38465.29
8/8/26,01:47:32,TRD,1007518561285,SOLD -100 SPY @772.3749,-1.61,,77237.49,115701.17
